sample,remeshed_cd,clipped_cd,reference_cd,cd_diff_percent,remeshed_cl,clipped_cl,reference_cl,cl_diff_percent,remeshed_pressure_drag,clipped_pressure_drag,pressure_drag_diff_percent,remeshed_viscous_drag,clipped_viscous_drag,viscous_drag_diff_percent
sample_000000053,-96.04149263717645,-94.17366261451156,0.01798436551881323,-1.9448156951507818,414.9961707552158,405.63843215617135,1.2877394118606746,-2.2548975770101984,-69.54519236023377,-68.02672731165461,-2.1834220268077424,-27.341943386597688,-26.97350940794104,-1.3475047235934356
sample_000000054,-53.85070739059014,-52.922160815911724,0.010467711957103956,-1.7242978220201952,289.0371910311762,283.7340646805233,0.8092145250433005,-1.8347557045282985,-29.25435623229791,-28.738832193952224,-1.762212896609658,-25.111861196342325,-24.689380215540172,-1.6823961294580951
sample_000000055,-88.77043467228826,-87.16006042076947,0.01613465713367444,-1.8140885053269962,358.1427469828505,350.28404572836007,1.093101145377941,-2.194293007661199,-65.29352853532642,-64.10404785540631,-1.8217436040028874,-24.55917272592721,-24.11452951205129,-1.8104975230151203
sample_000000056,-66.10955172127427,-65.49409701105768,0.01450547325268914,-0.930961856784972,403.8815519269156,398.85001300732625,1.1575899291444218,-1.2457956783576607,-39.178406485817376,-38.74995911098766,-1.093580401195782,-27.444862199566817,-27.251454832040555,-0.7047124744875386
sample_000000057,-47.640532944572655,-46.607339146428465,0.010411200519388868,-2.168728463525499,-175.2332503944529,-171.26838891758763,-0.5125832562533328,-2.262619376140266,-20.87096497775925,-20.380361306169704,-2.350651597146319,-27.02578999032703,-26.477402486787742,-2.0291266369477645
sample_000000058,-26.674441011673593,-26.59843376656701,0.008836022471379046,-0.28494409713523633,-20.809977869369202,-20.751106883439867,-0.06807129638749418,-0.2828978785988482,-0.3653921574489736,-0.3606800143682253,-1.2896125394826905,-26.319004496887548,-26.247681230622316,-0.27099530407263794
sample_000000059,-89.61283594257613,-89.26022225337186,0.012453292056399876,-0.3934856937573276,408.83338213039826,406.10065761398374,1.1451885473352803,-0.6684201036066357,-63.646559422215354,-63.28709832436481,-0.5647769512032323,-26.842317772669794,-26.843308979582012,0.0036927023985507436
sample_000000060,-50.524435530341954,-48.98077301358263,0.010097016814376976,-3.05527909526529,210.5483743506186,203.2878553863311,0.6333504207339785,-3.448385192562354,-23.496973254678565,-22.71075336270955,-3.3460475247060515,-27.346933023085533,-26.57847358762973,-2.810038825220695
sample_000000061,-110.06543729814678,-110.4439647298673,0.017453053293955405,0.3439112595311528,396.57877417337767,394.27002219004135,1.174897662683441,-0.5821673104287154,-86.83921623995349,-87.20612586917346,0.42251605335328385,-24.588246800929564,-24.59192931757414,0.014976735325586884
sample_000000062,-102.01453344661992,-100.69378101353949,0.01789480765885284,-1.29467085566933,332.91395839563984,325.6696047756667,1.025509918657378,-2.1760438207171364,-75.7597366225057,-74.60853273792951,-1.5195457850023812,-27.166101564122133,-26.97671925365684,-0.6971273004272682
sample_000000063,-99.21291872841529,-98.8290647803384,0.015155190694952933,-0.3868991588964831,350.65916086619563,349.1513864637236,1.0937866722954894,-0.4299828924325063,-72.43318466206483,-72.10564645896646,-0.4521935693239111,-27.626501707266026,-27.566544881581223,-0.21702648536580568
sample_000000064,-35.52585366947878,-35.502775961295185,0.009714450824908872,-0.0649603198794323,-95.75454167720105,-95.1806282702133,-0.29382426966299974,-0.5993589410332794,-8.413394214767981,-8.358670286674693,-0.6504381786512741,-27.215928528882614,-27.246954486764217,0.11399926277979838
sample_000000065,-26.818500444600996,-27.18699476445816,0.009490168111847705,1.3740302915830889,-62.29757623618213,-62.9951293834029,-0.21215379823509492,1.1197115351265157,-0.41484041707722163,-0.5316075252338601,28.14747631856289,-26.493506813747686,-26.746239979300828,0.9539437996256379
sample_000000066,-72.11968797115303,-72.32013860036118,0.01324798614760015,0.277941620169414,309.1068124557793,307.3107760381932,0.89365218618466,-0.5810407099465124,-45.32631405145654,-45.514213138568664,0.4145474677221933,-27.48112273663521,-27.489676643941284,0.031126484125300016
sample_000000067,-39.12658236503603,-39.05759854814468,0.009193932546473724,-0.17630933427242435,-180.47223860952394,-179.65898094209007,-0.48026708481151453,-0.45062757225141226,-13.971549077454407,-13.943794688910243,-0.19864932936427543,-25.397052893328773,-25.35473276136871,-0.16663402693932602
sample_000000068,-10.54288299070065,-10.59007164890084,0.00912975336530275,0.4475878015701609,34.81688361765693,34.57321782237729,0.07075383474103467,-0.6998495269004132,15.962596419034643,15.86848982314017,-0.5895444163598327,-26.462751203931454,-26.416132208319347,-0.17616836304299702
sample_000000069,-26.25703474767602,-26.10583221823863,0.008672768322959653,-0.5758553122635985,-70.29717966628533,-69.72014769119816,-0.2039234054819319,-0.8208465514924663,0.13439607104866125,0.06211659718472594,-53.78094262723263,-26.455960772024934,-26.231949049715222,-0.8467344060571259
sample_000000070,-23.52373117255055,-23.285179291310904,0.009498747457552689,-1.0140903221934872,124.46510802410155,122.82936610657497,0.333127856177633,-1.314217248106064,4.980659602389673,4.974211187027864,-0.12946910402621642,-28.478873997230046,-28.234209045038806,-0.8591103433901102
sample_000000071,-142.3869198452819,-142.5707362011755,0.01959446579034041,0.1290963777384318,422.9184792985675,422.91563802306155,1.2261055756292767,-0.0006718258115975188,-118.56684146629789,-118.60645331533442,0.03340887599488932,-25.438660121783617,-25.58285239963197,0.5668233985518749
sample_000000072,-193.7342086792037,-191.09084708525623,0.02860790056935868,-1.3644268670818511,616.9281315772135,608.1739949311877,1.7877292358178736,-1.4189880794778058,-172.48760518409642,-169.9592093027752,-1.4658420694186425,-23.883131820760877,-23.73075311889336,-0.6380180916434822
sample_000000073,-113.52449207774906,-111.1041371396608,0.013712125803312608,-2.132011246023134,427.3734538618289,418.60678122194395,1.2034347819951228,-2.0512908700031853,-87.85183745036188,-85.98981774915644,-2.1195000073362387,-26.745804154829653,-26.165455788762642,-2.16986695448532
sample_000000074,-124.14878142830723,-123.75356092322707,0.015459876219577964,-0.3183442483552613,431.98983605126796,430.34277320610465,1.1846657498557946,-0.381273517964861,-99.91339871866946,-99.53414798739907,-0.379579451939436,-25.621716212571304,-25.600460313568416,-0.08296048097066559
